messagecount	latency
1	14
2	21
3	9
4	7
5	27
6	7
7	17
8	17
9	16
10	23
11	11
12	16
13	16
14	12
15	20
16	16
17	16
18	13
19	25
20	12
21	28
22	0
23	17
24	16
25	12
26	24
27	8
28	21
29	9
30	20
31	29
32	3
33	17
34	16
35	12
36	16
37	16
38	16
39	16
40	24
41	10
42	21
43	13
44	16
45	16
46	16
47	16
48	16
49	16
50	17
51	16
52	16
53	25
54	22
55	3
56	10
57	13
58	16
59	16
60	29
61	4
62	17
63	24
64	22
65	3
66	16
67	17
68	13
69	41
70	0
71	9
72	17
73	20
74	9
75	17
76	17
77	17
78	16
79	21
80	13
81	13
82	20
83	13
84	18
85	14
86	17
87	11
88	16
89	21
90	23
91	9
92	11
93	17
94	18
95	36
96	11
97	5
98	11
99	13
100	21
101	11
102	21
103	17
104	11
105	16
106	21
107	11
108	38
109	0
110	16
111	16
112	16
113	16
114	16
115	11
116	16
117	22
118	16
119	11
120	21
121	11
122	25
123	7
124	21
125	16
126	11
127	38
128	0
129	11
130	21
131	16
132	11
133	21
134	16
135	7
136	17
137	20
138	22
139	11
140	12
141	16
142	20
143	12
144	20
145	9
146	16
147	33
148	0
149	30
150	0
151	24
152	9
153	17
154	16
155	20
156	13
157	20
158	13
159	16
160	16
161	20
162	16
163	13
164	17
165	20
166	9
167	16
168	16
169	20
170	14
171	16
172	16
173	16
174	16
175	16
176	17
177	20
178	12
179	12
180	20
181	12
182	27
183	8
184	12
185	16
186	28
187	5
188	16
189	20
190	16
191	16
192	13
193	16
194	17
195	16
196	16
197	16
198	17
199	11
200	22
201	16
202	20
203	8
204	21
205	13
206	34
207	17
208	17
209	20
210	13
211	24
212	9
213	24
214	16
215	16
216	0
217	9
218	7
219	12
220	16
221	16
222	20
223	16
224	17
225	25
226	3
227	20
228	16
229	16
230	16
231	21
232	11
233	12
234	20
235	13
236	16
237	20
238	13
239	17
240	16
241	16
242	16
243	16
244	16
245	20
246	12
247	12
248	20
249	26
250	16
251	11
252	9
253	13
254	20
255	59
256	7
257	10
258	7
259	9
260	17
261	13
262	41
263	0
264	9
265	21
266	13
267	20
268	13
269	17
270	20
271	13
272	13
273	17
274	21
275	27
276	0
277	13
278	25
279	8
280	16
281	24
282	8
283	16
284	20
